tract,prostitution,other_offense,theft,liquor_law_violation,non_criminal,burglary,public_peace_violation,other_offense_,ritualism,homicide,battery,interfere_with_public_officer,offenses_involving_children,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,non_criminal__subject_specified_,crim_sexual_assault,criminal_trespass,domestic_violence,criminal_damage,sex_offense,stalking,other_narcotic_violation,deceptive_practice,obscenity
17031823304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16871942,0,0,0,0,0,0,0,0,0,0,0,0
17031770602,0,0,0.605326877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201775626,0,0,0,0,0,0,0,0,0,0,0,0.201775626,0,0,0,0,0
17031050700,0,0.705218618,11.9887165,0,0,5.641748942,0,0,0,0,2.820874471,0,0,0,0,0,0,0,2.820874471,0,0,0,1.410437236,0,0,0,0,0.705218618,0,5.641748942,0,0,0,0,0
17031291600,0,3.791469194,2.843601896,0,0,6.63507109,2.843601896,0,0,0,21.80094787,0,0,0,1.895734597,0,0,9.478672986,2.843601896,0,0,0.947867299,0,0,0,0,0,1.895734597,0,5.687203791,0,0,0,0,0
17031380500,0,15.95744681,15.95744681,0,0,13.29787234,0,0,0,1.329787234,47.87234043,0,0,0,2.659574468,1.329787234,1.329787234,9.308510638,5.319148936,0,0,0,6.64893617,0,0,0,0,1.329787234,0,15.95744681,0,0,0,0,0
17031230800,0.761035008,6.849315068,12.17656012,0,0,6.849315068,1.522070015,0,0,0,16.74277017,0,0,0.761035008,41.09589041,0,2.283105023,9.893455099,6.849315068,0,0,1.522070015,5.327245053,0,1.522070015,0,0,3.805175038,0,8.371385084,0,0,0,0,0
17031241300,0,4.308023694,30.69466882,0,0,19.92460959,0.538502962,0,0,0,7.539041465,0,0,0,1.077005924,0,0.538502962,1.077005924,4.846526656,0,0,0.538502962,8.077544426,0,0.538502962,0,0,4.846526656,0,9.693053312,0,0,0,0,0
17031280900,4.246284501,10.61571125,24.41613588,0,0,5.307855626,4.246284501,0,0,1.061571125,71.12526539,0,0,0,44.58598726,0,1.061571125,19.10828025,8.492569002,0,0,3.184713376,2.123142251,0,2.123142251,0,0,19.10828025,0,25.47770701,0,0,0,0,0
17031580200,0,5.120910384,11.37980085,0,0,7.396870555,1.991465149,0,0,0.284495021,13.94025605,0,0,0.284495021,5.120910384,0,0.284495021,3.413940256,6.827880512,0,0,0.853485064,1.991465149,0,0.284495021,0,0,1.137980085,0,6.827880512,0,0,0,0,0
17031390500,0,4.380475594,13.76720901,0,0,5.63204005,0,0,0,0,11.2640801,0,0,0,2.503128911,0,0.625782228,6.257822278,2.503128911,0,0,1.877346683,2.503128911,0,0,0,0.625782228,1.251564456,0,10.63829787,0,0,0,0,0
17031222500,0,2.127659574,19.85815603,0.709219858,0,8.510638298,2.836879433,0,0,0,17.0212766,0,0,0,7.80141844,0,0,2.127659574,4.255319149,0,0,1.418439716,2.127659574,0,0.709219858,0,0.709219858,4.255319149,0,10.63829787,0,0,0,0,0
